model,accuracy,balanced_accuracy,precision,recall,f1,roc_auc
Gradient Boosting,0.7539429945540703,0.7539460596828633,0.7336631085654778,0.7972839156882161,0.7641515829435293,0.8296252758473108
Random Forest,0.7360492255463611,0.7360519454326049,0.7191645868908446,0.774508417032112,0.7458111973845525,0.8115229092579649
Decision Tree,0.7306032958483627,0.7306064208870213,0.7118533922537041,0.7747913424812561,0.741990110411163,0.8057872260560333
Extra Trees,0.7235306598769361,0.7235333847027772,0.7075124770160232,0.7620596972697694,0.7337737519580467,0.7931505629596163
